01_beforeB	Marius verbrachte den Tag mit seiner Familie im Zoo. Endlich kamen sie zu seinem liebsten Bereich im Zoo, auf den er sich schon lange gefreut hatte.
02_afterA	Tamara fuhr mit dem Reisebus ihre Eltern besuchen.Sie konnte es kaum erwarten, die beiden nach langer Zeit wieder zu sehen.
03_afterB	Lukas wollte zu einer Hochzeit gehen.Da ihm sein alter Anzug zu klein war, ging er in aller Eile zum Herrenausstatter.
04_beforeA	Martha war schon lange nicht mehr in der Eissporthalle gewesen.Mit einigen Freunden wollte sie heute endlich mal wieder dort hin.
05_beforeB	Peter ging zum Abendessen in sein Lieblingsrestaurant.Er setzte sich auf einen freien Platz direkt neben dem Fenster.
06_afterA	Lara ging zum Friseur, um sich die Haare schneiden zu lassen.Sie ging schon seit Jahren zu ihm und war immer zufrieden gewesen.
07_afterB	Tobias besuchte die Geburtstagsfeier seiner Kommilitonin Janina.Er war noch nie bei ihr zuhause gewesen und war gespannt auf die Wohnung.
08_beforeA	Florian machte am Wochenende einen Großeinkauf.Im Supermarkt arbeitete er seine lange Einkaufsliste nach und nach ab.
09_beforeB	Sina wachte morgens um sechs auf und gähnte.Draußen war es kalt und sie stellte sich in die warme Dusche.
10_afterA	Lisa hatte lang gearbeitet und wollte früh ins Bett gehen.Sie entfernte ihr Make-up und putzte sich die Zähne.
11_afterB	Jonas wachte spät auf und gönnte sich ein ausgiebiges Frühstück.Er wollte endlich mal wieder Pfannkuchen selbst machen.
12_beforeA	Markus musste eine große Menge Wäsche waschen.Er konnte es nicht länger aufschieben und ging in die Waschküche.
13_beforeB	Jan hatte Hunger und wollte Nudeln mit Pesto kochen.Er würde seine Mutter damit überraschen, wenn sie von der Arbeit kam.
14_afterA	Fred war ein guter Boxer.Als bester Boxer seines Vereins hatte er auch an diesem Wochenende wieder einen Kampf.
15_afterB	Ben hatte einige Zeit in Indien gelebt und liebte das indische Essen.Auch heute Abend wollte er wieder ein Curry kochen.
16_beforeA	Nina wollte einkaufen gehen, hatte aber überhaupt kein Bargeld bei sich.Sie lief schnell zur nächsten Bank und stellte sich am Schalter an.
17_beforeB	Maren ging wie jeden Donnerstag ins Fitnesstudio.Das Trainieren machte ihr Spaß und sie freute sich auf das Training.
18_afterA	Marius wachte gähnend auf.Er hatte sich die ganze Nacht schlaflos im Bett gewälzt und brauchte dringend einen Kaffee.
19_afterB	Leas Brieffreund Till hatte ihr endlich wieder geschrieben.Sie hatte lange auf eine Nachricht gewartet und wollte sofort zurückschreiben.
20_beforeA	Britta hatte einen großen Garten mit vielen Obstbäumen.Sie erntete viele Früchte und wollte daraus Marmelade machen.
21_beforeB	Max hatte Zahnschmerzen und ging zur Zahnärztin. Er hatte Angst vor der Untersuchung, weil er schlechte Erfahrungen gemacht hatte.
22_afterA	Melissa war auf den Malediven und wollte Tauchen gehen.Mit ihren Freunden buchte sie eine Tauchstunde an einem nahen Korallenriff.
23_afterB	Katrin duschte nach dem Aufstehen und fröstelte.Sie nutzte die Zeit unter dem warmen Wasserstrahl, um ihren Tag zu planen.
24_beforeA	Petra und ihre Familie wollten einen Grillabend veranstalten.Sie bereitete Vorspeisen vor und ließ ihre Kinder den Tisch decken.
25_beforeB	Emil hatte für eine Gruppe von Freunden gekocht.Nachdem alle gegangen waren, stand ein Haufen dreckiges Geschirr in der Küche.
26_afterA	Fabian hatte Lust auf Pizza.Er machte einen Hefeteig, den er gehen ließ, während er den Einkauf erledigte.
27_afterB	Laura hatte immer mittwochabends Fußballtraining.Als sie ankam, waren die anderen schon alle da, und sie musste sich beeilen.
28_beforeA	Marie hatte voller Freude die ersten süßen Erdbeeren des Frühjahrs gekauft.Jetzt wollte sie einen Erbeerkuchen zubereiten.
29_beforeB	Barbara hatte viele Pflanzen in ihrer Wohnung und war stolz auf die bunte Pracht.Sie wollte heute einige Blumen in größere Gefäße umtopfen.
30_afterA	Ella nähte sich Klamotten mit ihrer Nähmaschine.Sie hatte ein Schnittmuster ausgesucht und war dabei, eine blaue Jacke zu nähen.
31_afterB	Anna schrieb die letzte große Klausur vor den Semesterferien.Sie hatte die ganzen letzten Wochen gelernt, aber sie war trotzdem sehr nervös.
