119,170,"Sylvia ist Chefin einer Großküche, wo sie die Arbeitsabläufe plant und koordiniert. Sie gibt den Ton an und wird von ihren Mitarbeitern respektiert."
120,170,"Franz verhandelt mit dem Anwalt seiner Exfrau um die gemeinsame Wohnung. Er zieht den Kürzeren und ist verärgert, weil er findet, dass die Aufteilung ungerecht ist."
121,170,"Thorsten ist Fahrkartenkontrolleur und hat jemanden beim Schwarzfahren erwischt. Er drückt ein Auge zu und geht weiter, als die Person ihn nett anlächelt."
122,170,"Patrick hat eine neue Stelle angetreten und ist dabei sich einzuleben. Er findet den Anschluss und hat eine Menge Spaß, als die Kollegen ihn zu einer Grillparty einladen."
123,170,"Sascha spielt mit den anderen Kindern auf dem Schulhof Fangen. Er schlägt einen Haken und wird nicht erwischt."
124,170,"Klaus ist Weinhändler und hat Gerüchte über die mangelnde Qualität in einem anderen Fachgeschäft geschürt. Er reibt sich die Hände und ist schadenfroh, als er erfährt, dass die Konkurrenz auf ihren Lagerbeständen sitzen geblieben ist."
113,180,"Wolfgang arbeitet in einer Firma, die schon seit Längerem Finanzierungsprobleme hat und nun sind betriebsbedingte Kündigungen ausgesprochen worden. Er steht auf der Brücke und schaut dem Wasser zu, während er überlegt, wie es weitergehen soll."
114,180,"Ronja ist die Vorgesetzte von Anton und verlangt mehr Sorgfalt von ihm. Sie schaut ihm auf die Schuhe und begutachtet den Anzug, da ihr ein guter Kleidungsstil bei ihren Mitarbeitern wichtig ist."
115,180,"Marcel verfolgt den Aktienmarkt und findet eine stark wachsende Social-Media Firma sehr attraktiv. Er will sich ein Stück vom Brot abschneiden und ist von den Aktienkursen so abgelenkt, dass er sich mit dem Messer verletzt."
116,180,"Magdalenas Firma geht es wirtschaftlich nicht gut und sie kündigt weitreichende Veränderungen an. Sie malt den Weltuntergang an die Wand und beginnt bei der Betrachtung ihres Werkes an ihrem Verstand zu zweifeln."
117,180,"Tobias und Steffen haben aufgrund der Finanzkrise beide kürzlich ihre Jobs verloren. Sie sitzen im gleichen Kanu und lassen bei einem Bier nach der Kanutour gemeinsam ihren Frust raus."
118,180,"Malte, der nachts Autos knackt, ist pleite. Er dreht ein Rad und überlegt, ob er die Felgen neu lackieren soll."
107,185,"Max will sein Zimmer komplett neu gestalten. Er rollt den roten Teppich aus und denkt sich, dass ihm eine andere Farbe vielleicht besser gefallen hätte."
108,185,"Peter kauft Tiernahrung im Zoo-Fachhandel. Er hat einen Vogel und kümmert sich gut um ihn, weil der Vogel schon etwas älter ist und spezielles Futter benötigt."
109,185,"Susanne räumt die Reste, die nach dem Stricken übriggeblieben sind weg. Sie verliert den Faden und bückt sich, um ihn aufzuheben."
110,185,"Tom liegt im Bett und beobachtet einen Weberknecht. Er geht die Wand hoch und verschwindet hinter dem Schrank."
111,185,"Marta hatte eine Feier veranstaltet, und musste sich dafür Geschirr von ihrem Nachbarn leihen. Sie gibt den Löffel ab und bedankt sich beim Nachbarn für das Ausleihen, nachdem die Freunde gegangen sind."
112,185,"Katrin ist ans Meer gefahren und sammelt Muscheln. Sie füllt sich die Taschen und dekoriert später mit den Muscheln das Badezimmer."
101,195,"Jörg geht auf seinem Spaziergang an einem Gasthaus mit Biergarten vorbei. Er riecht den Auflauf und überlegt einzukehren."
102,195,"Janina wünscht sich zum Geburtstag etwas Selbstgemachtes von ihrer Tochter und ist schon sehr gespannt. Sie bekommt einen Kuchen und freut sich sehr darüber."
103,195,"Jana hat ein Fußballspiel mit ihrer Mannschaft und ist vor dem Spiel sehr siegessicher. Sie schießt ein Tor und gewinnt das Spiel."
104,195,"Sven ist ein Morgenmuffel und hat morgens oft nicht viel Zeit im Bad. Er schmeißt das Duschgel und zielt dabei irgendwo hin, sodass es meistens in einer Ecke liegt, worüber sich seine Mutter regelmäßig aufregt."
105,195,"Anja hat beschlossen eine Diät zu halten und ist mit dem Ergebnis zufrieden. Sie schnallt den Rock enger und freut sich, denn er sitzt mittlerweile zu locker."
106,195,"Kilians Abiturball steht an und er überlegt sich, was er zu diesem Anlass anziehen soll. Er hat eine weiße Hose und besitzt auch ein Hemd, aber noch keinen Anzug."
125,195,"Michael möchte Geige spielen lernen und hat sich dafür eine Violine inklusive Zubehör besorgt. Er überspannt den Sicherheitsgurt und k"
1,"filler","Janine war gestern beim Arzt, um sich wie jedes Jahr allgemein untersuchen zu lassen. Sie gingen zu einer Party und tranken ein bisschen zu viel."
2,"filler","Der Mathelehrer sah gelangweilt den Pinguinen im Zoo zu. Sie freute sich auf die Hochzeit ihres besten Freundes und machte sich Gedanken über ein Hochzeitgeschenk."
3,"filler","Karsten saß mit seiner Freundin auf der Couch und verbrachte einen ruhigen Abend. Er massierte ihr die Zähne, damit sie sich entspannen konnte."
4,"filler","Herr Freund war zu Hause und langweilte sich. Er fing an sich beizubringen, mit seinen Knien zu pfeifen, wofür er sich ein Lehrbuch gekauft hatte."
5,"filler","Finn wollte immer schon einmal mit einem schnellen Auto herumfahren. Er ging zum Autoverleih und lieh sich einen Opel Corsa, mit dem er ein paar Runden drehte."
6,"filler","Tamara probiert einen exotischen Sport aus. Sie macht ein Fußballtraining beim benachbarten Verein mit, und lernt dort ein paar neue Leute kennen."
7,"filler","Nora hat sich eine Schnittwunde beim Schnitzen zugezogen. Sie geht zur Apotheke und kauft sich Zäpfchen."
8,"filler","Jochen hat den Plan, Spaghetti Bolognese zu machen, aber ihm fehlen einige Zutaten. Er geht zum Supermarkt und kauft Süßigkeiten."
