#nr	WSJID	Relation	pdtbConn	pdtbSense	rstSense	context-2	arg1	arg2	context+1
186	610	Implicit	for example	Expansion.Instantiation	evidence	The new facility was to have been the world's most advanced cereal manufacturing plant, and Kellogg's largest construction project. The company had retained the Fluor Daniel unit of Fluor Corp. as general contractor. 	But in recent weeks, construction-industry sources reported that early preparation work was slowing at the 185-acre site //	subcontractors said they were told that equipment orders would be delayed.	Fluor Daniel already has reassigned most of its work crew, the sources said.
437	629	Explicit	but	Comparison.Concession.Contra-expectation	antithesis	But now, with large amounts being raised from investors, the government's dawdling on regulation and disclosure requirements has a more dangerous aspect. The Securities and Exchange Board of India was set up earlier this year, along the lines of the U.S. Securities and Exchange Commission, but New Delhi hasn't pushed the legislation to make it operational.	Mr. Dave, its head, acts cheery and patient //	he makes no bones about the need to get to work.	"""Mega or non-mega, we feel the prospectus standards need to be considerably improved,"" he says."
774	664	Explicit	though	Comparison.Concession.Contra-expectation	antithesis	In a recent interview, Mr. Thompson said the biggest problem facing all commodity exchanges was one of image. Earlier this year, the U.S. attorney indicted 45 floor traders and one clerk at the two big Chicago exchanges.	Federal authorities in New York started investigating exchanges in May //	no indictments have been handed down there.	So far they have issued scores of subpoenas, some of which went to members of the New York Merc.
831	666	Implicit	for example	Expansion.Instantiation	example	"Third-quarter profits fell at several companies. ""Put your money in a good utility or bank stock, not a paper company,"" advises George Adler of Smith Barney. "	Other analysts are nearly as pessimistic //	Gary Palmero of Oppenheimer & Co. expects a 30% decline in earnings between now and 1991 for  commodity-oriented  paper companies, which account for the majority of the industry.	Robert Schneider of Duff & Phelps sees paper-company stock prices falling 10% to 15% in 1990, perhaps 25% if there's a recession. 
1045	681	Implicit	in other words	Expansion.Restatement.Specification	explanation-argumentative	"""We've run into a market that was beginning to run out of steam and get frothy,"" he says. ""The balloon had been blown up so big that when somebody came along with a pin -- in this case the UAL deal -- we got a little pop."" "	The pop sobered up investors who had been getting a little too ebullient //	it provided an excuse for people to get back to reality and to look at the economic data, especially the third-quarter economic numbers, and to realize that we can't continue to gloss over what is going on in the junk bond market.	But he figures that at current levels the stock market is comfortably valued, even with the economy obviously slowing.
1491	1105	Implicit	and	Expansion.Conjunction	elaboration-additional	For the third quarter, Sears said its total revenue rose 4.8% to $13.18 billion from $12.57 billion a year earlier. Net income at Sears's merchandise group, which includes international and credit card operations, as well as U.S. stores, fell 25%.	Profit at Sears's Allstate insurance unit fell 38% to $126.1 million because of Hurricane Hugo //	claims from the storm, as expected, reduced its third-quarter net by $80 million, or 23 cents a share.	Allstate is expected to absorb another big hit in the fourth quarter as claims pour in from the San Francisco earthquake.
2278	1146	Implicit	in addition	Expansion.Conjunction	elaboration-additional	Building them now will require undergirding from the West, and removal of political deadwood, a job that Solidarity has barely started. But Polish agriculture does possess one great asset already: the private farmer.	"""We are dealing with real entrepreneurs //"	there are a lot of them.	", and they have property,"" says Antoni Leopold, an economist who advises Rural Solidarity, the union's countryside offshoot."
2676	1158	Implicit	instead	Comparison.Contrast	antithesis	By making clever inferences about how the squashed and distorted fossil remains corresponded to three-dimensional structures, this trio was able to piece together a series of wondrous beasties quite unlike anything currently on the planet. One was so fantastic in appearance, it was dubbed Hallucigenia. 	Would that Mr. Gould's minute descriptions of these creatures was always so colorful //	a good deal of the book is boring, particularly the endless allusions to high and pop culture and the frequent jokes festooning the text.	"These turns do not provide sufficient relief from sentences like, ""Most modern chelicerates have six uniramous appendages on the prosoma."" "
2803	1162	Implicit	in particular	Expansion.Restatement.Specification	example	"""It's very costly and time-consuming,"" says Phil Rosen, a partner in Fleet & Leasing Management Inc., a Boston car-leasing company. One senior executive at his firm spends nearly 20% of his time on insurance, he says. "	Other forms of red tape are more pervasive //	the most onerous, many entrepreneurs say, is the record-keeping and filing required by tax authorities.	Complying with environmental and workplace regulations runs a close second.
3705	1316	Implicit	while	Comparison.Contrast.Juxtaposition	Contrast	But in recent years, Mr. Ingersoll began focusing more on expanding his own newspaper empire in partnership with investment banking firm Warburg, Pincus & Co. Ingersoll has 28 dailies and 200 other non-daily papers in the U.S. and Europe. The company said its revenue will exceed $750 million this year. 	"Ingersoll President Robert M. Jelenic said in a statement that the company is ""delighted by the conclusion of the Goodson relationship"" and will be able to ""concentrate all our energies"" on Ingersoll's own papers //"	"Mr. Goodson, in his own statement, was less upbeat, saying ""unfortunately over the past few years, it has become increasingly clear that Ralph and I have different agendas,"" and that he feels ""more comfortable with a management team whose sole interest and responsibility is in the Goodson papers."""	
